u-r color,Mr luminosity,log10density,redshift,velocity of dispersion of host cluster (-99 if not in a cluster)
2.131,-20.26,-0.9047,0.04775,-99
2.293,-18.89,-0.3381,0.03426,-99
2.591,-22.06,0.3683,0.07227,287.2
1.971,-21.81,0.0451,0.06095,-99
2.434,-20.34,-0.07636,0.06128,-99
2.476,-22.1,0.1723,0.0354,902.6
2.31,-22.31,0.4472,0.07363,287.2
1.644,-20.67,-0.1072,0.06148,-99
1.17,-18.56,0.09605,0.03524,902.6
2.352,-21.89,-0.02322,0.07212,287.2
2.271,-18.46,-0.7323,0.0391,902.6
1.384,-19.76,-0.7211,0.05862,-99
1.527,-19.72,-0.8576,0.03899,902.6
0.9977,-18.81,-0.03888,0.03733,902.6
1.675,-21.01,0.5761,0.07463,287.2
2.37,-20.31,0.6625,0.07201,287.2
2.587,-21,0.6515,0.07261,287.2
1.74,-22.37,0.247,0.07481,287.2
1.419,-20.53,0.308,0.07239,287.2
2.161,-20.33,-0.1062,0.07312,287.2
1.529,-19.43,0.1184,0.05158,-99
2.322,-19.31,-0.4401,0.03784,902.6
1.616,-21.14,-1.334,0.07875,-99
1.795,-19.16,-0.8411,0.03939,1607
2.491,-22.57,1.64,0.07312,287.2
1.764,-20.16,0.3303,0.07259,287.2
2.721,-22.07,0.5551,0.07284,287.2
1.967,-20.71,0.473,0.07359,287.2
2.09,-20.72,1.037,0.07347,287.2
1.653,-20.13,1.64,0.0731,287.2
2.494,-22.62,0.09699,0.07259,287.2
1.506,-20.9,0.3334,0.07331,287.2
2.407,-21.2,0.04184,0.07306,287.2
1.976,-21.82,0.07963,0.07259,287.2
2.095,-19.2,-0.711,0.03942,1607
2.008,-21.55,-0.3235,0.05061,-99
0.9859,-18.51,-0.7631,0.03668,902.6
1.431,-20.04,-0.01019,0.07252,287.2
1.468,-20.09,0.4925,0.05252,-99
1.521,-20.04,0.079,0.0499,-99
2.568,-21.68,0.3764,0.05014,-99
2.424,-20.58,-0.4734,0.07207,287.2
